dt,dt_iso,timezone,lat,lon,temp,visibility,dew_point,feels_like,temp_min,temp_max,pressure,humidity,wind_speed,wind_deg,clouds_all,weather_id,weather_main,weather_description,weather_icon,month
1483228800,2017-01-01 00:00:00,0,53.345035,-6.267261,5.39,9999.0,4.35,1.78,5.36,6.56,1019,93,5.1,330,75,501,0,0,0,01
1483232400,2017-01-01 01:00:00,0,53.345035,-6.267261,5.39,9999.0,4.35,2.28,5.36,5.56,1019,93,4.1,310,75,501,0,0,0,01
1483236000,2017-01-01 02:00:00,0,53.345035,-6.267261,5.39,9999.0,4.35,2.28,5.36,5.56,1019,93,4.1,320,75,500,0,1,0,01
1483239600,2017-01-01 03:00:00,0,53.345035,-6.267261,4.39,9999.0,3.36,0.04,4.36,5.56,1019,93,6.2,330,75,500,0,1,0,01
1483243200,2017-01-01 04:00:00,0,53.345035,-6.267261,4.39,9999.0,2.42,0.04,4.36,4.56,1019,87,6.2,330,75,803,1,2,1,01
1483246800,2017-01-01 05:00:00,0,53.345035,-6.267261,3.39,9999.0,1.44,-1.23,3.36,3.56,1020,87,6.2,330,40,802,1,3,2,01
1483250400,2017-01-01 06:00:00,0,53.345035,-6.267261,2.39,9999.0,1.38,-2.28,2.36,3.56,1020,93,5.7,330,20,801,1,4,3,01
1483254000,2017-01-01 07:00:00,0,53.345035,-6.267261,2.39,9999.0,0.45,-2.72,2.36,2.56,1020,87,6.7,330,20,801,1,4,3,01
1483257600,2017-01-01 08:00:00,0,53.345035,-6.267261,2.39,9999.0,0.45,-2.51,2.36,2.56,1021,87,6.2,340,20,801,1,4,3,01
1483261200,2017-01-01 09:00:00,0,53.345035,-6.267261,3.39,9999.0,0.44,-1.01,2.53,3.41,1022,81,5.7,350,20,801,1,4,4,01
1483264800,2017-01-01 10:00:00,0,53.345035,-6.267261,3.39,9999.0,1.27,-1.01,3.36,3.56,1023,86,5.7,350,20,801,1,4,4,01
1483268400,2017-01-01 11:00:00,0,53.345035,-6.267261,4.39,9999.0,1.25,-0.16,4.36,4.56,1023,80,6.7,350,40,802,1,3,5,01
1483272000,2017-01-01 12:00:00,0,53.345035,-6.267261,4.39,9999.0,1.25,-0.16,4.36,4.56,1024,80,6.7,350,40,802,1,3,5,01
1483275600,2017-01-01 13:00:00,0,53.345035,-6.267261,5.39,9999.0,1.32,0.78,5.36,5.56,1024,75,7.7,360,20,801,1,4,4,01
1483279200,2017-01-01 14:00:00,0,53.345035,-6.267261,5.39,9999.0,1.32,0.78,5.36,5.56,1024,75,7.7,360,40,802,1,3,5,01
1483282800,2017-01-01 15:00:00,0,53.345035,-6.267261,5.39,9999.0,0.37,0.78,5.36,5.56,1025,70,7.7,350,40,802,1,3,5,01
1483286400,2017-01-01 16:00:00,0,53.345035,-6.267261,5.39,9999.0,1.32,1.31,5.36,5.56,1025,75,6.2,350,75,803,1,2,6,01
1483290000,2017-01-01 17:00:00,0,53.345035,-6.267261,4.39,9999.0,1.25,0.04,4.36,5.56,1026,80,6.2,350,75,803,1,2,1,01
1483293600,2017-01-01 18:00:00,0,53.345035,-6.267261,4.39,9999.0,1.25,0.53,4.36,4.56,1027,80,5.1,340,75,803,1,2,1,01
1483297200,2017-01-01 19:00:00,0,53.345035,-6.267261,4.39,9999.0,1.25,0.25,4.36,4.56,1027,80,5.7,360,75,803,1,2,1,01
1483300800,2017-01-01 20:00:00,0,53.345035,-6.267261,4.39,9999.0,1.25,0.25,4.36,4.56,1028,80,5.7,340,75,520,0,5,7,01
1483304400,2017-01-01 21:00:00,0,53.345035,-6.267261,5.39,9999.0,0.37,0.62,4.53,5.41,1028,70,8.2,30,75,803,1,2,1,01
1483308000,2017-01-01 22:00:00,0,53.345035,-6.267261,5.39,9999.0,1.32,1.12,5.36,5.56,1029,75,6.7,30,75,520,0,5,7,01
1483311600,2017-01-01 23:00:00,0,53.345035,-6.267261,5.39,9999.0,2.22,0.29,5.36,5.56,1030,80,9.3,30,75,803,1,2,1,01
1483315200,2017-01-02 00:00:00,0,53.345035,-6.267261,5.39,9999.0,1.32,0.78,5.36,5.56,1031,75,7.7,20,75,520,0,5,7,01
1483318800,2017-01-02 01:00:00,0,53.345035,-6.267261,5.39,9999.0,1.32,1.31,5.36,5.56,1031,75,6.2,20,75,803,1,2,1,01
1483322400,2017-01-02 02:00:00,0,53.345035,-6.267261,5.39,9999.0,1.32,1.12,5.36,5.56,1031,75,6.7,30,40,802,1,3,2,01
1483326000,2017-01-02 03:00:00,0,53.345035,-6.267261,4.39,9999.0,0.35,0.53,4.36,4.56,1032,75,5.1,20,40,802,1,3,2,01
1483329600,2017-01-02 04:00:00,0,53.345035,-6.267261,3.39,9999.0,-0.54,-0.18,3.36,3.56,1032,75,4.1,20,20,801,1,4,3,01
1483333200,2017-01-02 05:00:00,0,53.345035,-6.267261,2.39,9999.0,-0.62,-1.08,2.36,2.56,1033,80,3.6,350,20,801,1,4,3,01
1483336800,2017-01-02 06:00:00,0,53.345035,-6.267261,0.39,9999.0,-1.48,-3.12,0.36,1.56,1033,86,3.1,300,20,801,1,4,3,01
1483340400,2017-01-02 07:00:00,0,53.345035,-6.267261,0.39,9999.0,-1.48,-4.49,0.36,0.56,1033,86,5.1,330,20,801,1,4,3,01
1483344000,2017-01-02 08:00:00,0,53.345035,-6.267261,0.39,9999.0,-1.48,-3.52,-1.47,0.41,1033,86,3.6,310,20,801,1,4,3,01
1483347600,2017-01-02 09:00:00,0,53.345035,-6.267261,-0.61,9999.0,-2.42,-5.1,-2.47,-0.59,1034,86,4.1,320,20,801,1,4,4,01
1483351200,2017-01-02 10:00:00,0,53.345035,-6.267261,0.39,9999.0,-1.48,-4.19,-0.47,0.41,1034,86,4.6,320,20,801,1,4,4,01
1483354800,2017-01-02 11:00:00,0,53.345035,-6.267261,2.39,9999.0,-1.4,-1.41,0.53,2.41,1034,75,4.1,320,20,801,1,4,4,01
1483358400,2017-01-02 12:00:00,0,53.345035,-6.267261,3.39,9999.0,-0.54,-0.18,2.53,3.41,1034,75,4.1,310,20,801,1,4,4,01
1483362000,2017-01-02 13:00:00,0,53.345035,-6.267261,4.39,9999.0,0.35,1.05,3.53,4.41,1033,75,4.1,310,20,801,1,4,4,01
1483365600,2017-01-02 14:00:00,0,53.345035,-6.267261,4.39,9999.0,1.25,1.05,4.36,4.56,1033,80,4.1,300,20,801,1,4,4,01
1483369200,2017-01-02 15:00:00,0,53.345035,-6.267261,4.39,9999.0,0.35,0.78,3.53,4.41,1033,75,4.6,300,20,801,1,4,4,01
1483372800,2017-01-02 16:00:00,0,53.345035,-6.267261,2.39,9999.0,0.29,-1.08,1.53,2.41,1033,86,3.6,280,20,801,1,4,4,01
1483376400,2017-01-02 17:00:00,0,53.345035,-6.267261,2.39,9999.0,0.45,-1.08,-0.47,2.41,1033,87,3.6,260,20,801,1,4,3,01
1483380000,2017-01-02 18:00:00,0,53.345035,-6.267261,1.39,9999.0,0.38,-2.95,-0.47,1.41,1033,93,4.6,260,20,801,1,4,3,01
1483383600,2017-01-02 19:00:00,0,53.345035,-6.267261,1.39,9999.0,-0.61,-3.23,-0.47,1.41,1033,86,5.1,270,20,801,1,4,3,01
1483387200,2017-01-02 20:00:00,0,53.345035,-6.267261,0.39,9999.0,-0.54,-4.19,-0.47,0.41,1033,93,4.6,270,20,801,1,4,3,01
1483390800,2017-01-02 21:00:00,0,53.345035,-6.267261,0.39,9999.0,-0.67,-4.19,-0.47,0.41,1033,92,4.6,250,20,801,1,4,3,01
1483394400,2017-01-02 22:00:00,0,53.345035,-6.267261,1.39,9999.0,-0.61,-2.64,-0.47,1.41,1033,86,4.1,250,20,801,1,4,3,01
1483398000,2017-01-02 23:00:00,0,53.345035,-6.267261,1.39,9999.0,-0.61,-2.95,-0.47,1.41,1033,86,4.6,270,20,801,1,4,3,01
1483401600,2017-01-03 00:00:00,0,53.345035,-6.267261,1.39,9999.0,-0.61,-2.95,-0.47,1.41,1033,86,4.6,250,20,801,1,4,3,01
1483405200,2017-01-03 01:00:00,0,53.345035,-6.267261,0.39,9999.0,-0.54,-4.49,-0.47,0.41,1032,93,5.1,250,20,801,1,4,3,01
1483408800,2017-01-03 02:00:00,0,53.345035,-6.267261,0.39,9999.0,-0.67,-4.49,0.36,0.56,1032,92,5.1,270,20,801,1,4,3,01
1483412400,2017-01-03 03:00:00,0,53.345035,-6.267261,-0.61,9999.0,-0.61,-5.44,-0.64,0.56,1031,100,4.6,260,20,801,1,4,3,01
1483416000,2017-01-03 04:00:00,0,53.345035,-6.267261,-0.61,9999.0,-0.61,-5.44,-0.64,1.56,1031,100,4.6,260,20,801,1,4,3,01
1483419600,2017-01-03 05:00:00,0,53.345035,-6.267261,0.39,9999.0,-0.54,-4.19,0.36,1.56,1031,93,4.6,270,75,500,0,1,0,01
1483423200,2017-01-03 06:00:00,0,53.345035,-6.267261,0.39,9999.0,0.39,-3.87,0.36,2.56,1031,100,4.1,250,75,803,1,2,1,01
1483426800,2017-01-03 07:00:00,0,53.345035,-6.267261,1.39,9999.0,0.38,-3.54,1.36,2.56,1030,93,5.7,250,75,803,1,2,1,01
1483430400,2017-01-03 08:00:00,0,53.345035,-6.267261,2.38,9999.0,0.91,-2.52,-0.46,3.56,1030,90,6.2,270,75,803,1,2,1,01
1483434000,2017-01-03 09:00:00,0,53.345035,-6.267261,2.92,9999.0,1.44,-1.83,-0.46,3.56,1030,90,6.2,260,75,803,1,2,6,01
1483437600,2017-01-03 10:00:00,0,53.345035,-6.267261,3.39,9999.0,1.44,-0.47,3.36,3.56,1030,87,4.6,250,75,803,1,2,6,01
1483441200,2017-01-03 11:00:00,0,53.345035,-6.267261,3.39,9999.0,1.27,-1.23,3.36,4.56,1030,86,6.2,260,75,803,1,2,6,01
1483444800,2017-01-03 12:00:00,0,53.345035,-6.267261,4.39,9999.0,1.42,-0.16,4.36,4.56,1030,81,6.7,260,75,803,1,2,6,01
1483448400,2017-01-03 13:00:00,0,53.345035,-6.267261,4.39,9999.0,2.26,-0.34,4.36,4.56,1029,86,7.2,260,75,803,1,2,6,01
1483452000,2017-01-03 14:00:00,0,53.345035,-6.267261,5.39,9999.0,2.22,0.78,5.36,5.56,1029,80,7.7,260,75,803,1,2,6,01
