,dt,dt_iso,timezone,lat,lon,temp,visibility,dew_point,feels_like,temp_min,temp_max,pressure,humidity,wind_speed,wind_deg,clouds_all,weather_id,weather_main,weather_description,weather_icon,month
5213,1501545600,2017-08-01 00:00:00,3600,53.345035,-6.267261,13.39,9999.0,11.27,13.06,13.36,13.56,1009,87,3.6,220,75,520,0,5,7,8
5214,1501549200,2017-08-01 01:00:00,3600,53.345035,-6.267261,13.39,9999.0,11.45,13.08,12.53,13.41,1009,88,4.1,230,75,520,0,5,7,8
5215,1501552800,2017-08-01 02:00:00,3600,53.345035,-6.267261,12.39,9999.0,11.29,12.11,11.53,12.41,1008,93,3.6,210,75,520,0,5,7,8
5216,1501556400,2017-08-01 03:00:00,3600,53.345035,-6.267261,11.39,9999.0,10.3,11.01,11.36,11.56,1008,93,3.1,210,75,803,1,2,1,8
5217,1501560000,2017-08-01 04:00:00,3600,53.345035,-6.267261,10.88,9999.0,9.31,10.37,10.41,11.56,1009,90,3.6,210,40,802,1,3,2,8
5218,1501563600,2017-08-01 05:00:00,3600,53.345035,-6.267261,11.39,9999.0,10.3,11.01,11.36,11.56,1009,93,2.6,190,75,803,1,2,6,8
5219,1501567200,2017-08-01 06:00:00,3600,53.345035,-6.267261,11.39,9999.0,9.31,10.86,11.36,12.56,1009,87,4.1,200,75,803,1,2,6,8
5220,1501570800,2017-08-01 07:00:00,3600,53.345035,-6.267261,12.39,9999.0,10.29,11.96,12.36,13.56,1009,87,3.6,210,75,803,1,2,6,8
5221,1501574400,2017-08-01 08:00:00,3600,53.345035,-6.267261,14.39,9999.0,11.36,14.03,14.36,14.56,1010,82,3.6,220,75,803,1,2,6,8
5222,1501578000,2017-08-01 09:00:00,3600,53.345035,-6.267261,15.39,9999.0,10.37,14.86,15.36,16.56,1010,72,5.1,230,75,803,1,2,6,8
5223,1501581600,2017-08-01 10:00:00,3600,53.345035,-6.267261,17.0,9999.0,11.92,16.64,15.84,17.41,1010,72,5.7,220,75,500,0,1,10,8
5224,1501585200,2017-08-01 11:00:00,3600,53.345035,-6.267261,16.54,9999.0,11.48,16.13,15.53,17.41,1010,72,5.7,230,75,520,0,5,9,8
5225,1501588800,2017-08-01 12:00:00,3600,53.345035,-6.267261,18.46,9999.0,10.31,17.9,17.74,18.56,1009,59,5.1,230,40,500,0,1,10,8
5226,1501592400,2017-08-01 13:00:00,3600,53.345035,-6.267261,18.46,9999.0,9.26,17.8,18.24,18.56,1009,55,6.7,220,40,500,0,1,10,8
5227,1501596000,2017-08-01 14:00:00,3600,53.345035,-6.267261,18.92,9999.0,10.22,18.36,18.24,19.56,1009,57,6.7,230,75,500,0,1,10,8
5228,1501599600,2017-08-01 15:00:00,3600,53.345035,-6.267261,19.39,9999.0,9.29,18.74,19.36,19.56,1009,52,7.7,230,40,500,0,1,10,8
